DAY,FEMALE,MALE,ZOMBIE
0,158542,156536,4
1,158541,156527,6
2,158592,156571,7
3,158643,156627,7
4,158708,156683,8
5,158775,156773,8
6,158863,156855,8
7,158932,156944,9
8,159027,157047,9
9,159127,157133,9
10,159211,157226,11
11,159286,157332,11
12,159381,157426,13
13,159468,157526,15
14,159568,157621,15
15,159656,157707,16
16,159754,157786,18
17,159823,157874,19
18,159908,157960,20
19,159989,158033,21
20,160062,158106,21
21,160139,158182,22
22,160208,158237,24
23,160278,158308,24
24,160369,158370,26
25,160444,158431,27
26,160511,158492,29
27,160586,158567,31
28,160651,158626,33
29,160720,158682,34
30,160769,158760,36
31,160845,158818,37
32,160895,158876,38
33,160950,158929,39
34,161003,158990,41
35,161049,159053,41
36,161099,159109,43
37,161146,159161,44
38,161202,159206,47
39,161256,159258,49
40,161300,159300,52
41,161344,159329,56
42,161377,159379,57
43,161434,159422,57
44,161496,159469,59
45,161539,159509,60
46,161583,159557,60
47,161634,159614,62
48,161688,159655,63
49,161729,159709,63
50,161759,159751,67
51,161802,159795,68
52,161852,159836,72
53,161898,159876,75
54,161944,159919,78
55,161980,159951,80
56,162024,160002,81
57,162068,160036,83
58,162108,160086,83
59,162158,160123,84
60,162198,160169,86
61,162243,160222,88
62,162272,160261,90
63,162314,160298,92
64,162361,160339,94
65,162409,160378,95
66,162440,160419,96
67,162472,160452,99
68,162500,160494,102
69,162539,160524,103
70,162577,160559,105
71,162611,160595,105
72,162661,160622,109
73,162693,160655,109
74,162725,160678,114
75,162764,160710,116
76,162799,160732,119
77,162828,160774,124
78,162859,160797,129
79,162889,160838,132
80,162930,160868,134
81,162964,160901,140
82,163004,160935,143
83,163045,160969,144
84,163080,160987,151
85,163107,161029,154
86,163129,161078,157
87,163173,161113,161
88,163219,161149,164
89,163244,161196,166
90,163280,161223,174
91,163301,161247,177
92,163350,161289,179
93,163378,161319,183
94,163414,161363,184
95,163444,161399,188
96,163473,161436,189
97,163502,161466,195
98,163545,161490,198
99,163575,161514,202
100,163604,161539,205
101,163635,161577,209
102,163663,161599,211
103,163694,161630,214
104,163734,161667,221
105,163763,161697,226
106,163804,161717,229
107,163830,161748,234
108,163855,161772,236
109,163899,161795,239
110,163921,161839,242
111,163948,161863,247
112,163971,161885,254
113,164010,161914,256
114,164037,161948,257
115,164053,161982,262
116,164083,161999,264
117,164119,162034,264
118,164159,162067,268
119,164194,162085,279
120,164217,162116,283
121,164250,162144,287
122,164276,162183,288
123,164299,162202,291
124,164338,162236,292
125,164364,162257,295
126,164390,162288,299
127,164413,162323,305
128,164429,162338,308
129,164450,162365,309
130,164478,162391,310
131,164504,162422,314
132,164527,162439,318
133,164547,162457,319
134,164574,162479,320
135,164607,162502,325
136,164638,162540,325
137,164664,162569,329
138,164698,162584,330
139,164737,162603,336
140,164763,162629,342
141,164780,162650,345
142,164808,162678,349
143,164830,162697,353
144,164855,162730,357
145,164890,162763,358
146,164914,162789,362
147,164940,162807,368
148,164968,162829,370
149,165000,162856,372
150,165022,162882,373
151,165043,162910,376
152,165065,162940,380
153,165086,162959,382
154,165115,162981,383
155,165138,163006,390
156,165159,163044,394
157,165195,163064,398
158,165214,163087,400
159,165238,163119,404
160,165267,163141,407
161,165291,163162,410
162,165318,163193,413
163,165339,163217,415
164,165355,163247,418
165,165373,163270,418
166,165386,163304,422
167,165397,163329,423
168,165413,163364,426
169,165427,163400,427
170,165459,163433,430
171,165496,163464,432
172,165522,163493,432
173,165546,163511,436
174,165581,163518,440
175,165615,163554,443
176,165644,163580,445
177,165663,163597,450
178,165677,163616,455
179,165701,163634,460
180,165716,163663,465
181,165740,163687,467
182,165755,163711,471
183,165771,163741,473
184,165781,163757,477
185,165799,163772,481
186,165823,163804,488
187,165847,163833,493
188,165886,163853,497
189,165906,163875,502
190,165935,163897,508
191,165959,163926,512
192,165977,163950,514
193,166000,163962,521
194,166014,163982,526
195,166041,164002,526
196,166064,164036,530
197,166080,164057,535
198,166099,164062,539
199,166121,164098,540
200,166143,164127,543
201,166170,164142,543
202,166189,164149,545
203,166214,164173,549
204,166239,164185,554
205,166263,164207,559
206,166293,164223,565
207,166312,164232,566
208,166329,164254,570
209,166347,164284,576
210,166364,164299,577
211,166391,164329,582
212,166417,164349,586
213,166432,164386,590
214,166441,164431,596
215,166460,164446,599
216,166491,164457,600
217,166515,164477,607
218,166543,164504,610
219,166579,164527,613
220,166624,164545,615
221,166636,164574,621
222,166660,164589,628
223,166683,164615,633
224,166707,164631,638
225,166726,164662,640
226,166754,164672,643
227,166772,164703,652
228,166797,164738,654
229,166814,164757,654
230,166850,164769,658
231,166873,164789,663
232,166891,164819,666
233,166924,164828,670
234,166940,164852,676
235,166963,164884,677
236,166987,164900,678
237,167013,164915,682
238,167030,164941,689
239,167047,164964,693
240,167060,164988,699
241,167075,165010,704
242,167093,165035,709
243,167113,165053,712
244,167127,165079,716
245,167150,165100,718
246,167155,165115,725
247,167166,165135,731
248,167186,165153,735
249,167213,165176,740
250,167223,165187,745
251,167242,165212,753
252,167263,165240,760
253,167278,165265,763
254,167303,165283,771
255,167323,165294,779
256,167342,165312,788
257,167375,165327,791
258,167401,165348,795
259,167431,165373,801
260,167461,165385,803
261,167482,165397,806
262,167496,165421,812
263,167517,165438,817
264,167540,165455,822
265,167561,165471,829
266,167590,165490,832
267,167619,165503,839
268,167649,165527,850
269,167672,165540,855
270,167692,165552,863
271,167719,165574,870
272,167724,165586,877
273,167734,165598,887
274,167752,165606,895
275,167766,165626,900
276,167787,165644,905
277,167804,165661,910
278,167827,165688,916
279,167846,165703,923
280,167866,165731,928
281,167885,165765,932
282,167900,165779,936
283,167925,165801,939
284,167941,165824,943
